mMax N Time(s)
1 2 16.649125576019287
1 4 36.29830718040466
1 8 72.75035881996155
1 16 145.21009492874146
1 32 287.0719425678253
1 64 573.7747492790222
2 2 17.620736598968506
2 4 38.050562143325806
2 8 75.86221551895142
2 16 151.36229610443115
2 32 302.92007994651794
2 64 604.3479437828064
5 2 19.419246435165405
5 4 43.63104724884033
5 8 86.39151167869568
5 16 172.18869876861572
5 32 345.28986716270447
5 64 688.498144865036
10 2 22.97039532661438
10 4 53.07929301261902
10 8 106.34039568901062
10 16 211.70545625686646
10 32 421.5653455257416
10 64 849.5389018058777
25 2 33.09398579597473
25 4 80.64424514770508
25 8 157.27373003959656
25 16 318.6334230899811
25 32 621.6422617435455
25 64 1241.2355864048004
50 2 49.705031871795654
50 4 124.46172618865967
50 8 243.2962646484375
50 16 486.90767908096313
50 32 990.4791412353516
50 64 1978.9909238815308
